Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated
US,San Francisco-Oakland-Fremont,Oakland West,"37.8148, -122.282402",NO2,AirNow,ppm,0.0014,2023-05-31T04:30:00+05:30
US,San Francisco-Oakland-Fremont,Redwood City,"37.4828, -122.2022",NO2,AirNow,ppm,0.0028,2023-05-31T04:30:00+05:30
US,San Francisco-Oakland-Fremont,Redwood City,"37.4828, -122.2022",NOX,AirNow,ppm,0.006,2023-05-31T04:30:00+05:30
US,Bridgeport-Stamford-Norwalk,Danbury,"41.4014, -73.4447",PM10,AirNow,µg/m³,90.0,2023-05-31T04:30:00+05:30
US,Akron,East HS,"41.063526, -81.468956",O3,AirNow,ppm,0.028,2018-10-14T01:30:00+05:30
US,Roanoke,EAST VINTON ELEMENTA,"37.28342, -79.88452",NO2,AirNow,ppm,0.0017,2023-05-31T04:30:00+05:30
US,Wichita,PECK,"37.4769, -97.3664",SO2,AirNow,ppm,0.0004,2023-05-31T04:30:00+05:30
US,Salt Lake City,Herriman #3,"40.496408, -112.036305",PM2.5,AirNow,µg/m³,4.1,2023-05-31T04:30:00+05:30
US,San Luis Obispo-Paso Robles,Paso Robles - Santa,"35.614668, -120.656912",PM10,AirNow,µg/m³,27.0,2023-05-31T04:30:00+05:30
US,HAMPDEN,SPRINGFIELDSP,"42.120248, -72.58499",CO,AirNow,ppm,0.25,2020-01-06T21:30:00+05:30
US,Santa Barbara-Santa Maria,Santa Barbara,"34.42775, -119.69091",O3,AirNow,ppm,0.035,2023-05-31T04:30:00+05:30
US,GARFIELD,Pomeroy-Pataha St,"46.474438, -117.614764",PM2.5,AirNow,µg/m³,3.0,2023-05-31T04:30:00+05:30
US,BOLIVAR,CLEVELAND,"33.750833, -90.734167",PM2.5,AirNow,µg/m³,13.7,2023-05-31T04:30:00+05:30
US,Kinston,LENOIRCOLL,"35.231459, -77.568792",PM10,AirNow,µg/m³,5.0,2021-11-04T16:30:00+05:30
US,FRESNO,Tranquillity,"36.6324, -120.3822",PM2.5,AirNow,µg/m³,1.5,2023-05-31T04:30:00+05:30
US,TULARE,Porterville-NFS,"36.0319, -119.055",O3,AirNow,ppm,0.054,2023-05-31T04:30:00+05:30
US,Bakersfield,Bakersfield-Muni,"35.3313, -119.0",O3,AirNow,ppm,0.038,2023-05-31T04:30:00+05:30
US,Bakersfield,Bakersfield-Muni,"35.3313, -119.0",NOX,AirNow,ppm,0.0055,2023-05-31T04:30:00+05:30
US,MADISON,Alton,"38.901316, -90.146211",O3,AirNow,ppm,0.07,2023-05-31T04:30:00+05:30
US,Buffalo-Niagara Falls,Fulton,"43.284279, -76.46318",O3,AirNow,ppm,0.061,2023-05-31T04:30:00+05:30
US,San Jose-Sunnyvale-Santa Clara,Hollister AMS,"36.843425, -121.3621",PM10,AirNow,µg/m³,10.0,2023-05-31T04:30:00+05:30
US,IRON,Enoch,"37.747445, -113.055524",O3,AirNow,ppm,0.051,2023-05-31T04:30:00+05:30
US,DUNN,Lake Ilo,"47.342589, -102.645997",NO2,AirNow,ppm,0.0,2023-05-31T04:30:00+05:30
US,Tucson,Corona de Tucson,"32.004567, -110.792504",PM10,AirNow,µg/m³,6.0,2023-05-31T04:30:00+05:30
US,Salt Lake City,Copper View,"40.598056, -111.894167",PM2.5,AirNow,µg/m³,5.5,2023-05-31T04:30:00+05:30
US,Tampa-St. Petersburg-Clearwater,SYDNEY,"27.9659, -82.230617",O3,AirNow,ppm,0.05,2023-05-31T04:30:00+05:30
US,Riverside-San Bernardino-Ontario,Banning - South Hath,"33.920758, -116.858419",NO,AirNow,ppm,0.0004,2023-05-31T04:30:00+05:30
US,Kingsport-Bristol-Bristol,Skyland Drive,"36.52102, -82.516306",SO2,AirNow,ppm,0.001,2023-05-31T04:30:00+05:30
US,TULARE,Springville,"36.1358, -118.8108",PM2.5,AirNow,µg/m³,17.2,2023-05-19T02:30:00+05:30
US,Los Angeles-Long Beach-Santa Ana,Anaheim,"33.830586, -117.938509",CO,AirNow,ppm,0.1,2023-05-31T04:30:00+05:30
US,GALLATIN,West Yellowstone Par,"44.657014, -111.089618",CO,AirNow,ppm,0.3,2023-05-31T04:30:00+05:30
US,Riverside-San Bernardino-Ontario,Riverside - Rubidoux,"33.999449, -117.415831",PM2.5,AirNow,µg/m³,8.6,2023-05-31T04:30:00+05:30
US,LOS ANGELES,710 Near Road,"33.859662, -118.200707",NOX,AirNow,ppm,0.0539,2023-05-31T04:30:00+05:30
US,Milwaukee-Waukesha-West Allis,Milwaukee-UWM UPark,"43.09455, -87.90145",O3,AirNow,ppm,0.071,2023-05-31T04:30:00+05:30
US,Las Vegas-Paradise,Liberty High School,"35.987908, -115.14885",PM2.5,AirNow,µg/m³,3.7,2023-05-31T04:30:00+05:30
US,Salt Lake City,Utah Tech. Center,"40.7771, -111.945",PM10,AirNow,µg/m³,17.0,2023-05-30T12:30:00+05:30
US,Salem,Salem Chemeketa Comm,"44.976568, -122.976308",PM2.5,AirNow,µg/m³,2.2,2023-04-13T08:30:00+05:30
US,Riverside-San Bernardino-Ontario,Upland,"34.10366, -117.629096",PM2.5,AirNow,µg/m³,14.3,2023-04-01T18:30:00+05:30
US,Riverside-San Bernardino-Ontario,Upland,"34.10366, -117.629096",NO2,AirNow,ppm,0.0257,2023-04-01T18:30:00+05:30
US,Pittsburgh,Hookstown,"40.5625, -80.5042",O3,AirNow,ppm,0.04,2023-03-07T19:30:00+05:30
US,Laramie,Laramie I-80 Mobile,"41.324166, -105.614888",PM10,AirNow,µg/m³,20.0,2023-01-24T19:30:00+05:30
US,Los Angeles-Long Beach-Santa Ana,Lancaster-Division,"34.669589, -118.130689",PM2.5,AirNow,µg/m³,7.0,2022-12-20T01:30:00+05:30
US,CLACKAMAS,Multorpor,"45.28845, -121.782775",PM2.5,AirNow,µg/m³,7.0,2022-10-05T23:30:00+05:30
US,New York-Northern New Jersey-Long Island,Newark Firehouse,"40.720989, -74.192894",PM2.5,AirNow,µg/m³,6.1,2022-09-26T15:30:00+05:30
US,San Luis Obispo-Paso Robles,Nipomo RP,"35.0315, -120.50101",PM10,AirNow,µg/m³,2.0,2022-07-21T18:30:00+05:30
US,CHARLESTON,SPA-Irving St.,"32.836602, -79.956983",PM2.5,AirNow,µg/m³,6.5,2022-07-06T22:30:00+05:30
US,TILLAMOOK,Tillamook Forestry D,"45.457347, -123.802809",PM2.5,AirNow,µg/m³,1.8,2022-06-24T05:30:00+05:30
US,San Luis Obispo-Paso Robles,SLO Roberto,"35.259473, -120.644493",PM2.5,AirNow,µg/m³,17.0,2022-06-14T10:30:00+05:30
US,Iowa City,"Iowa City, Hoover Sc","41.658195, -91.503471",PM2.5,AirNow,µg/m³,5.0,2022-05-26T07:30:00+05:30
US,MARIPOSA,Yosemite Village - V,"37.748707, -119.587094",PM10,AirNow,µg/m³,47.0,2022-05-26T07:30:00+05:30
US,Bishop,Coso Junction,"36.0494, -117.9439",PM2.5,AirNow,µg/m³,20.0,2017-07-19T21:30:00+05:30
US,San Luis Obispo-Paso Robles,SLO Roberto,"35.259473, -120.644493",PM2.5,AirNow,µg/m³,8.0,2022-05-25T21:30:00+05:30
US,GARFIELD,Escalante,"37.771861, -111.61541",O3,AirNow,ppm,0.042,2022-05-25T13:30:00+05:30
US,Sacramento--Arden-Arcade--Roseville,Downtown Sacramento,"38.56844, -121.49311",O3,AirNow,ppm,0.055,2022-05-25T06:30:00+05:30
US,GARFIELD,Escalante,"37.771861, -111.61541",O3,AirNow,ppm,0.048,2022-05-22T02:30:00+05:30
US,WASHINGTON,Blair,"41.550658, -96.146622",PM2.5,AirNow,µg/m³,0.0,2022-05-21T10:30:00+05:30
US,HAMILTON,White Springs Plant,"30.426029, 82.795356",SO2,AirNow,ppm,0.001,2022-05-20T17:30:00+05:30
US,GARFIELD,Escalante,"37.771861, -111.61541",O3,AirNow,ppm,0.043,2022-05-20T15:30:00+05:30
US,DOUGLAS,TRPA Office,"38.966434, -119.931016",PM2.5,AirNow,µg/m³,3.9,2022-05-17T18:30:00+05:30
US,Riverside-San Bernardino-Ontario,Indio - Jackson Stre,"33.708566, -116.215394",PM10,AirNow,µg/m³,19.0,2022-04-21T21:30:00+05:30
US,037,Cle Elum Mobile,"47.197523, -120.958207",PM2.5,AirNow,µg/m³,2.1,2022-01-12T11:30:00+05:30
US,MT1,Red Lodge,"45.169444, -109.258889",PM2.5,AirNow,µg/m³,2.0,2021-12-21T02:30:00+05:30
US,Visalia-Porterville,Visalia - N. Church,"36.33252, -119.29095",NO2,AirNow,ppm,0.007,2021-12-15T21:30:00+05:30
US,Dallas-Fort Worth-Arlington,Midlothian OFW C52,"32.482081, -97.026922",O3,AirNow,ppm,0.021,2021-12-15T03:30:00+05:30
US,Winchester,BUTLER MANUF. CO NEA,"39.282799, -78.081398",PM2.5,AirNow,µg/m³,26.8,2021-11-16T19:30:00+05:30
US,El Paso,El Paso UTEP C12,"31.768056, -106.501111",PM10,AirNow,µg/m³,35.0,2021-11-14T17:30:00+05:30
US,El Paso,El Paso UTEP C12,"31.768056, -106.501111",O3,AirNow,ppm,0.014,2021-11-11T20:30:00+05:30
US,El Paso,El Paso UTEP C12,"31.768056, -106.501111",O3,AirNow,ppm,0.002,2021-11-11T16:30:00+05:30
US,El Paso,El Paso UTEP C12,"31.768056, -106.501111",PM2.5,AirNow,µg/m³,7.3,2021-11-11T16:30:00+05:30
US,DADE,Kendall,"25.68333, -80.399722",PM2.5,AirNow,µg/m³,9.7,2021-10-16T08:30:00+05:30
US,Rock Springs,James Town Mobile,"41.55643, -109.53044",NO2,AirNow,ppm,0.001,2021-07-06T23:30:00+05:30
US,Cape Coral-Fort Myers,Bay Oaks Park,"26.4489, -81.9394",O3,AirNow,ppm,0.061,2021-05-08T23:30:00+05:30
US,SAN LUIS OBISPO,Temporary PM2.5 Cres,"35.526644, -120.521368",PM2.5,AirNow,µg/m³,-4.0,2021-03-18T23:30:00+05:30
US,GBU,GBUAPCD EBAM @ Lone,"36.608972, -118.057923",PM10,AirNow,µg/m³,8.2,2020-12-01T18:30:00+05:30
US,019,Mobile-Republic,"48.649337, -118.73834",PM2.5,AirNow,µg/m³,3.4,2020-10-23T22:30:00+05:30
US,Salinas,Laureles Fire Statio,"36.569272, -121.755291",PM2.5,AirNow,µg/m³,0.0,2020-08-25T04:30:00+05:30
US,CA8 - ARB,MMCA81017,"39.035089, -120.124834",PM2.5,AirNow,µg/m³,5.0,2019-12-11T19:30:00+05:30
US,CA8 - ARB,MMCA81042,"38.510696, -122.80612",PM2.5,AirNow,µg/m³,6.0,2019-11-24T00:30:00+05:30
US,Florence-Muscle Shoals,MSHOALS,"34.7606, -87.6506",O3,AirNow,ppm,0.026,2019-11-01T20:30:00+05:30
US,Jackson,Jackson Mobile,"43.48256, -110.745261",PM2.5,AirNow,µg/m³,5.0,2019-10-08T02:30:00+05:30
US,SWAIN,BRYSON,"35.4356, -83.4436",O3,AirNow,ppm,0.041,2019-08-12T20:30:00+05:30
US,Wilmington,CASTLE H,"34.3561, -77.8617",PM2.5,AirNow,µg/m³,7.0,2019-08-12T20:30:00+05:30
US,Durham,Durham Armory,"35.9919, -78.8964",PM10,AirNow,µg/m³,24.0,2019-08-12T20:30:00+05:30
US,FS1 - Forest Service,Unit0216,"39.714256, -105.123779",PM2.5,AirNow,µg/m³,6.0,2019-07-21T22:30:00+05:30
US,Providence-New Bedford-Fall River,Providence,"41.8081, -71.415",BC,AirNow,µg/m³,-0.03,2019-06-25T12:30:00+05:30
US,Santa Barbara-Santa Maria,Santa Barbara,"34.4278, -119.6903",CO,AirNow,ppm,0.16,2017-06-19T21:30:00+05:30
US,Sault Ste. Marie,SAULT STE MARIE,"46.49361, -84.364197",PM2.5,AirNow,µg/m³,8.0,2019-03-01T01:30:00+05:30
US,Birmingham-Hoover,LNA,"30.0928, -86.8072",SO2,AirNow,ppm,-0.001,2018-12-21T21:30:00+05:30
US,WAYNE,Eliza Howell Downwin,"42.386803, -83.270638",CO,AirNow,ppm,0.3,2018-12-06T21:30:00+05:30
US,Reno-Sparks,Lemmon Valley,"39.645, -119.842",O3,AirNow,ppm,0.024,2018-09-14T19:30:00+05:30
US,Napa,Napa - Jefferson St,"38.3108, -122.295",NO2,AirNow,ppm,0.003,2018-05-14T23:30:00+05:30
US,Allentown-Bethlehem-Easton,EAS2,"40.6922, -75.2372",O3,AirNow,ppm,0.003,2018-02-15T19:30:00+05:30
US,Casper,Casper Mobile,"42.846297, -106.27767",O3,AirNow,ppm,0.043,2018-01-24T22:30:00+05:30
US,El Paso,Avenida de la Indust,"31.7122, -106.3953",CO,AirNow,ppm,0.7,2017-12-30T17:30:00+05:30
US,GBU,GBUAPCD EBAM @ Lee V,"37.9569, -119.120936",PM2.5,AirNow,µg/m³,0.0,2017-11-21T01:30:00+05:30
US,DOUGLAS,Glide Fire Dept,"43.2994, -123.0979",PM2.5,AirNow,µg/m³,2.5,2017-10-17T04:30:00+05:30
US,Los Angeles-Long Beach-Santa Ana,Los Angeles - N. Mai,"34.0669, -118.2417",PM2.5,AirNow,µg/m³,21.0,2017-06-08T01:30:00+05:30
US,Cheyenne,Cheyenne Mobile,"41.13, -104.75",SO2,AirNow,ppm,-0.001,2016-12-05T19:30:00+05:30
US,Riverside-San Bernardino-Ontario,Palm Springs - Fire,"33.8497, -116.54",O3,AirNow,ppm,0.027,2016-11-09T21:30:00+05:30
US,Los Angeles-Long Beach-Santa Ana,Anaheim,"33.82, -117.913101",O3,AirNow,ppm,0.014,2016-11-09T21:30:00+05:30
US,Riverside-San Bernardino-Ontario,San Bernadino - 4th,"34.1072, -117.2731",PM10,AirNow,µg/m³,3.0,2016-10-24T14:30:00+05:30
US,San Luis Obispo-Paso Robles,Paso Robles - Santa,"35.6317, -120.69",PM10,AirNow,µg/m³,35.0,2016-08-20T03:30:00+05:30
US,CA8 - ARB,San Miguel,"35.758406, -120.69623",PM2.5,AirNow,µg/m³,9.0,2016-08-19T23:30:00+05:30
US,YORK,"Eliot, Sawgrass Lane","43.111364, -70.76973",SO2,AirNow,ppm,0.001,2016-04-01T18:30:00+05:30
XK,Drenas,Drenas,"42.625349, 20.891036",NO2,Kosovo,µg/m³,20.7,2023-05-26T03:30:00+05:30
XK,Brezovica,Brezovica,"42.187773, 21.030856",CO,Kosovo,µg/m³,1.8,2023-05-26T03:30:00+05:30
ZA,Polokwane,Deelkraal,"-24.073797, 29.413985",SO2,South Africa,ppm,0.020546,2023-05-31T05:30:00+05:30
ZA,King Cetshwayo,Brackenham - RBCAA,"-28.731301, 32.039016",SO2,South Africa,ppm,0.000344,2023-05-31T04:30:00+05:30
ZA,City of Cape Town,Table View-NAQI,"-33.819667, 18.514333",NOX,South Africa,ppm,0.006081,2023-05-31T04:30:00+05:30
ZA,Gert Sibande,Standerton - MP Province,"-26.964112, 29.2232",PM2.5,South Africa,µg/m³,21.8,2023-04-01T17:30:00+05:30
ZA,Ngaka Modiri Molema,Lichtenburg,"-26.178767, 26.143496",NOX,South Africa,ppm,0.002501,2023-05-31T04:30:00+05:30
ZA,Ngaka Modiri Molema,Lichtenburg,"-26.178767, 26.143496",NO2,South Africa,ppm,0.001381,2023-05-31T04:30:00+05:30
ZA,Nkangala,Hendrina - SAWS,"-26.151197, 29.716484",SO2,South Africa,ppm,0.001552,2023-05-31T04:30:00+05:30
ZA,City of Johannesburg,Kliprivier,"-26.420222, 28.084139",SO2,South Africa,ppm,0.003067,2023-05-31T04:30:00+05:30
ZA,City of Cape Town,Foreshore-NAQI,"-33.913833, 18.425167",NOX,South Africa,ppm,0.02,2023-05-31T04:30:00+05:30
ZA,Ngaka Modiri Molema,Mafikeng-NAQI,"-25.835814, 25.614534",CO,South Africa,ppm,0.097,2022-02-24T15:30:00+05:30
ZA,Polokwane,South Farm,"-24.042678, 29.452175",SO2,South Africa,ppm,0.092244,2023-05-31T04:30:00+05:30
ZA,City of Tshwane,Bodibeng-NAQI,"-25.492833, 28.093733",SO2,South Africa,ppm,0.000144,2023-05-31T02:30:00+05:30
ZA,City of Tshwane,Bodibeng-NAQI,"-25.492833, 28.093733",PM2.5,South Africa,µg/m³,5.326,2023-05-31T02:30:00+05:30
ZA,Nkangala,eMalahleni -MP Province,"-25.92225, 29.24163",NO2,South Africa,ppm,0.000376,2023-05-31T01:30:00+05:30
ZA,Cape Winelands,Worcester-NAQI,"-33.627572, 19.468172",PM2.5,South Africa,µg/m³,3.618,2023-05-31T01:30:00+05:30
ZA,Cape Winelands,Worcester-NAQI,"-33.627572, 19.468172",NO2,South Africa,ppm,0.007631,2023-05-31T01:30:00+05:30
ZA,Namakwa,Karoo-NAQI,"-31.398641, 19.140214",O3,South Africa,ppm,0.019026,2023-05-31T01:30:00+05:30
ZA,Alfred Nzo,ES_Motherwell,"-33.789662, 25.618592",NO2,South Africa,µg/m³,1.07,2023-05-31T01:30:00+05:30
ZA,Dr Kenneth Kaunda,Khuma,"-26.854713, 26.846664",NO2,South Africa,ppm,0.004606,2023-05-30T23:30:00+05:30
ZA,Nkangala,eMalahleni - SAWS,"-25.877861, 29.186472",PM10,South Africa,µg/m³,143.049,2023-05-30T22:30:00+05:30
ZA,Gert Sibande,Balfour,"-26.662851, 28.584703",NO,South Africa,ppm,0.001439,2023-05-30T18:30:00+05:30
ZA,City of Johannesburg,Buccleugh-NAQI,"-26.045, 28.098889",CO,South Africa,ppm,0.276,2023-05-30T07:30:00+05:30
ZA,Fezile Dabi,Zamdela-NAQI,"-26.845083, 27.855778",NO,South Africa,ppm,0.005666,2023-05-30T01:30:00+05:30
ZA,Waterberg,Lephalale-NAQI,"-23.682068, 27.722012",NO2,South Africa,ppm,0.014917,2023-05-26T00:30:00+05:30
ZA,West Coast,Malmesbury,"-33.4554, 18.7317",NOX,South Africa,ppm,0.004167,2023-05-25T13:30:00+05:30
ZA,Alfred Nzo,Lebone,"-25.5956514035919, 27.1256297242044",SO2,South Africa,ppm,1.4e-05,2023-05-21T21:30:00+05:30
ZA,City of Johannesburg,Kliprivier,"-26.420222, 28.084139",CO,South Africa,ppm,0.785,2023-05-20T21:30:00+05:30
ZA,Nkangala,Hendrina - SAWS,"-26.151197, 29.716484",PM2.5,South Africa,µg/m³,9.788,2023-05-17T09:30:00+05:30
ZA,Sedibeng,Vanderbijlpark-NAQI,"-26.688504, 27.816736",O3,South Africa,ppm,0.040943,2023-05-05T17:30:00+05:30
ZA,Sedibeng,Vanderbijlpark-NAQI,"-26.688504, 27.816736",NOX,South Africa,ppm,0.003,2023-05-05T17:30:00+05:30
ZA,City  of  Ekurhuleni,Olifantsfontein-NAQI,"-25.973743, 28.236044",NO2,South Africa,ppm,0.007801,2023-05-02T15:30:00+05:30
ZA,City of Tshwane,Tshwane Market,"-25.740247, 28.170315",CO,South Africa,ppm,0.7,2023-04-29T14:30:00+05:30
ZA,Nkangala,Chicken Farm,"-25.97884, 28.942852",NO,South Africa,ppm,0.001478,2023-04-26T02:30:00+05:30
ZA,Nkangala,Masakhane,"-25.97255, 29.313231",PM2.5,South Africa,µg/m³,0.0,2023-04-26T02:30:00+05:30
ZA,Buffalo City Metro,East London,"-33.016889, 27.899083",NO2,South Africa,ppm,0.0,2023-04-19T14:30:00+05:30
ZA,Buffalo City Metro,East London,"-33.016889, 27.899083",PM10,South Africa,µg/m³,0.0,2023-04-19T14:30:00+05:30
ZA,Buffalo City Metro,Zwelitsha,"-32.88, 27.4",NO,South Africa,ppm,0.040864,2023-04-12T12:30:00+05:30
ZA,City of Tshwane,Mamelodi,"-25.716573, 28.3366",NO2,South Africa,ppm,7.5e-05,2021-08-18T05:30:00+05:30
ZA,Sekhukhune,Steelpoort,"-24.731501, 30.134383",O3,South Africa,ppm,0.029401,2023-04-17T17:30:00+05:30
ZA,King Cetshwayo,Esikhawini - RBCAA,"-28.865244, 31.911679",SO2,South Africa,ppm,-0.016103,2023-04-13T05:30:00+05:30
ZA,Alfred Nzo,Lebone,"-25.5956514035919, 27.1256297242044",SO2,South Africa,ppm,0.003059,2023-04-12T19:30:00+05:30
ZA,Gert Sibande,eMbalenhle North,"-26.536389, 29.0725",PM10,South Africa,µg/m³,0.0,2023-03-30T23:30:00+05:30
ZA,uMgungundlovu,Pietermaritzburg - CBD,"-29.602056, 30.380611",NO,South Africa,ppm,0.0,2023-03-30T23:30:00+05:30
ZA,Sekhukhune,Dilokong,"-24.615222, 30.171036",CO,South Africa,ppm,0.856,2023-03-30T23:30:00+05:30
ZA,Sekhukhune,Dilokong,"-24.615222, 30.171036",O3,South Africa,ppm,0.036042,2023-03-30T22:30:00+05:30
ZA,City of Cape Town,Khayelitsha CoCT-NAQI,"-34.015583, 18.653556",PM10,South Africa,µg/m³,50.817,2022-12-21T11:30:00+05:30
ZA,City of Cape Town,Goodwood-NAQI,"-33.9025, 18.565194",SO2,South Africa,ppm,0.056642,2022-09-30T00:30:00+05:30
ZA,West Coast,Saldanha Bay,"-33.001294, 17.94503",SO2,South Africa,ppm,0.001985,2022-09-29T23:30:00+05:30
ZA,West Coast,Saldana Bay,"-33.001108, 17.944911",SO2,South Africa,ppm,0.000717,2022-08-09T16:30:00+05:30
ZA,Alfred Nzo,Luka,"-25.5077634717075, 27.1838594119125",PM2.5,South Africa,µg/m³,26.0,2022-08-05T09:30:00+05:30
ZA,Nkangala,Masakhane,"-25.97255, 29.313231",SO2,South Africa,ppm,0.016727,2022-07-21T02:30:00+05:30
ZA,City  of  Ekurhuleni,Thokoza-NAQI,"-26.329515, 28.14299",SO2,South Africa,ppm,0.015786,2022-06-14T11:30:00+05:30
ZA,City of Tshwane,ISAWS Laboratory,"-25.911128, 28.210444",NO2,South Africa,ppm,0.005328,2022-06-13T13:30:00+05:30
ZA,City of Tshwane,ISAWS Laboratory,"-25.911128, 28.210444",SO2,South Africa,ppm,0.004349,2022-06-12T14:30:00+05:30
ZA,West Coast,Vredenburg,"-32.901722, 17.992206",NO2,South Africa,ppm,0.003658,2022-05-25T20:30:00+05:30
ZA,West Rand,Mogale City,"-26.170333, 27.806556",CO,South Africa,ppm,0.582,2022-02-02T12:30:00+05:30
US,Greeley,Greeley Hospital,"40.4147, -104.7061",PM2.5,AirNow,µg/m³,7.0,2023-05-30T19:30:00+05:30
US,LARIMER,Ft. Collins - CSU Fa,"40.571259, -105.079765",PM2.5,AirNow,µg/m³,2.3,2023-05-30T19:30:00+05:30
US,Denver-Aurora,Denver - NJH - 14th,"39.7386, -104.9394",PM2.5,AirNow,µg/m³,6.5,2023-05-30T19:30:00+05:30
US,Santa Barbara-Santa Maria,Santa Barbara,"34.42775, -119.69091",O3,AirNow,ppm,0.019,2023-05-30T18:30:00+05:30
US,Palm Bay-Melbourne-Titusville,Melbourne,"28.0542, -80.6283",PM2.5,AirNow,µg/m³,9.5,2023-05-30T16:30:00+05:30
US,PINELLAS,Derby Lane,"27.863583, -82.623483",SO2,AirNow,ppm,0.0009,2023-05-30T16:30:00+05:30
US,Chicago-Naperville-Joliet,Cicero2,"41.864329, -87.748826",PM2.5,AirNow,µg/m³,12.4,2023-05-30T13:30:00+05:30
US,Cheyenne,Cheyenne NCore,"41.18222, -104.778336",PM10,AirNow,µg/m³,7.0,2023-05-30T13:30:00+05:30
US,Cheyenne,Cheyenne NCore,"41.18222, -104.778336",NOX,AirNow,ppm,0.0039,2023-05-30T13:30:00+05:30
US,Sarasota-Bradenton-Venice,Port Manatee,"27.6331, -82.5458",O3,AirNow,ppm,0.028,2023-05-30T12:30:00+05:30
US,Miami,Miami,"36.922222, -94.83889",PM2.5,AirNow,µg/m³,17.7,2023-05-30T12:30:00+05:30
US,ALAMEDA,Berkeley Aquatic Par,"37.864767, -122.302741",O3,AirNow,ppm,0.028,2023-05-30T12:30:00+05:30
US,MIAMI - DADE,Perimeter,"25.785472, -80.284206",NO,AirNow,ppm,0.0002,2023-05-30T12:30:00+05:30
US,BURKE,Lostwood NWR,"48.641899, -102.402199",PM10,AirNow,µg/m³,11.0,2023-05-30T12:30:00+05:30
US,MC KENZIE,TRNP-NU,"47.6011, -103.2642",O3,AirNow,ppm,0.006,2023-05-30T12:30:00+05:30
US,Bishop,NCORE - Bishop,"37.360701, -118.330835",O3,AirNow,ppm,0.028,2023-05-28T15:30:00+05:30
US,Chicago-Naperville-Joliet,CICERO,"41.855301, -87.752502",O3,AirNow,ppm,0.032,2023-05-27T08:30:00+05:30
US,NORTH SLOPE,BLM-Kaktovik,"70.1319, -143.6239",SO2,AirNow,ppm,0.0001,2023-05-26T19:30:00+05:30
US,NORTH SLOPE,BLM-Kaktovik,"70.1319, -143.6239",CO,AirNow,ppm,0.2,2023-05-25T21:30:00+05:30
US,Louisville,New Albany - 4H Road,"38.3178, -85.8333",PM2.5,AirNow,µg/m³,17.9,2023-05-24T17:30:00+05:30
US,Salem,Woodburn Chemeketa C,"45.143141, -122.854708",PM2.5,AirNow,µg/m³,2.6,2023-05-23T04:30:00+05:30
US,NORTH SLOPE,BLM-Kaktovik,"70.1319, -143.6239",NO,AirNow,ppm,0.0,2023-05-23T04:30:00+05:30
US,INYO,Lone Pine,"36.607215, -118.05473",PM10,AirNow,µg/m³,16.0,2023-05-31T04:30:00+05:30
US,LOS ANGELES,Lancaster-Fairground,"34.7254, -118.1786",NOX,AirNow,ppm,0.0013,2023-05-31T04:30:00+05:30
US,Detroit-Warren-Livonia,PORT HURON,"42.9533, -82.4564",O3,AirNow,ppm,0.069,2023-05-31T01:30:00+05:30
US,Philadelphia-Camden-Wilmington,Camden Spruce St,"39.934446, -75.125291",NO2,AirNow,ppm,0.003,2023-05-31T01:30:00+05:30
US,Vineland-Millville-Bridgeton,Millville,"39.422272, -75.0252",NOX,AirNow,ppm,0.0,2023-05-31T01:30:00+05:30
US,Allegan,HOLLAND,"42.767799, -86.148598",PM2.5,AirNow,µg/m³,9.0,2023-05-31T01:30:00+05:30
US,CARTER,GRAYSON,"38.2383, -82.9883",O3,AirNow,ppm,0.037,2023-05-31T01:30:00+05:30
US,Detroit-Warren-Livonia,ELIZA HOWELL-NR,"42.38599, -83.266319",O3,AirNow,ppm,0.019,2018-02-26T09:30:00+05:30
US,Detroit-Warren-Livonia,ELIZA HOWELL-NR,"42.38599, -83.266319",PM2.5,AirNow,µg/m³,10.0,2023-05-31T01:30:00+05:30
US,Detroit-Warren-Livonia,MILITARY PARK,"42.312078, -83.103469",SO2,AirNow,ppm,0.0024,2023-05-31T01:30:00+05:30
US,Visalia-Porterville,Visalia - W Ashland,"36.30815, -119.3129",NO2,AirNow,ppm,0.0024,2023-05-31T01:30:00+05:30
US,MONO,Mammoth Lakes,"37.645718, -118.966515",PM2.5,AirNow,µg/m³,6.0,2023-05-31T01:30:00+05:30
US,St. Louis,Blair Street,"38.656449, -90.198548",CO,AirNow,ppm,0.2,2023-05-30T23:30:00+05:30
US,St. Louis,Blair Street,"38.656449, -90.198548",NO2,AirNow,ppm,0.0057,2023-05-30T22:30:00+05:30
US,SUBLETTE,Daniel South,"42.7914, -110.0547",NO,AirNow,ppm,0.0002,2023-05-30T20:30:00+05:30
US,SWEETWATER,Moxa Arch,"41.750599, -109.789703",SO2,AirNow,ppm,0.0007,2023-05-30T20:30:00+05:30
LT,National Air Monitoring Network,NET-LT001A,"54.67762499949384, 25.285186",PM10,EEA Lithuania,µg/m³,24.88999938,2024-03-11T16:30:00+05:30
LV,Regional GAW/EMEP Monitoring Network,NET-LV001A,"56.16235099950379, 21.173330999999997",PM10,EEA Latvia,µg/m³,14.0,2024-03-11T17:30:00+05:30
LV,Regional GAW/EMEP Monitoring Network,NET-LV001A,"56.16235099950379, 21.173330999999997",SO2,EEA Latvia,µg/m³,-2.447,2024-03-11T17:30:00+05:30
